MonthNum,MonthName,Yr,Total_Usage
1,January,2019,101305.6
1,January,2020,85319.2
2,February,2019,87276.4
2,February,2020,76385.4
3,March,2019,99833.6
3,March,2020,77012.1
4,April,2019,103150.8
4,April,2020,78242.3
5,May,2019,101728.0
5,May,2020,53559.3
6,June,2019,96775.6
6,June,2020,15661.2
7,July,2019,103670.9
7,July,2020,17130.7
8,August,2019,105273.9
8,August,2020,18134.4
9,September,2019,102346.7
9,September,2020,17178.4
10,October,2019,102442.6
10,October,2020,18536.6
11,November,2019,93288.9
11,November,2020,18082.0
12,December,2019,104182.9
12,December,2020,18281.0
